Name;Sample;Irradiance;Unit_irrad;Species;Cell_count;Unit_cell_count;Chl.c2;Fuco;Diadino;Allox;Monado;Diato;Croco;Chl.a;Phaeophy;Phaeophor;alpha.car;Unit_conc_pigments
Tele20_1;A1;20;microE;Tele;790000;cell.mL;0,101009011;0;0;0,158408791;0,002432967;0;0,020239451;0,53461978;0;0;0,020250549;mg.L
Tele20_2;A2;20;microE;Tele;768000;cell.mL;0,10410956;0;0;0,166947253;0;0;0,020793956;0,544371429;0;0;0,020698901;mg.L
Tele20_3;A3;20;microE;Tele;616000;cell.mL;0,082681319;0;0;0,136696703;0;0;0,017559341;0,458901099;0;0;0,016589011;mg.L
Tele80_1;A4;80;microE;Tele;590000;cell.mL;0,040312885;0;0;0,087519231;0;0;0,008302179;0,268528846;0;0;0,010984615;mg.L
Tele80_2;A5;80;microE;Tele;627000;cell.mL;0,047668077;0;0;0,103457692;0;0;0,010350769;0,313869231;0,002358974;0;0,013164103;mg.L
Tele80_3;A6;80;microE;Tele;707000;cell.mL;0,056229038;0;0;0,117973077;0,001314103;0;0,011806346;0,363057692;0,002594872;0;0,01525641;mg.L
Tele200_1;A7;200;microE;Tele;619000;cell.mL;0,030104038;0;0;0,083012821;0;0;0,005930128;0,225530769;0;0;0,010635897;mg.L
Tele200_2;A8;200;microE;Tele;551000;cell.mL;0,032073462;0;0;0,094397436;0,001208974;0;0,006145769;0,240588462;0;0;0,010984615;mg.L
Tele200_3;A9;200;microE;Tele;573000;cell.mL;0,028817885;0;0;0,086096154;0,00115641;0;0,005876218;0,223355769;0;0;0,010374359;mg.L
Meso20_1;B1;20;microE;Meso;5520;cell.mL;0,045626308;0;0;0,089824615;0;0;0,010997692;0,306775385;0;0,007170462;0,01224;mg.L
Meso20_2;B2;20;microE;Meso;8120;cell.mL;0,040417385;0;0;0,077301538;0;0;0,009639154;0,256181538;0;0,007021077;0,010409231;mg.L
Meso20_3;B3;20;microE;Meso;7180;cell.mL;0,039501;0;0;0,076504615;0;0;0,009574462;0,265216154;0;0,007170462;0,01088;mg.L
Meso80_1;B4;80;microE;Meso;22500;cell.mL;0,066960385;0,041709615;0,015453846;0,114083333;0,001734615;0,001152949;0,011482885;0,470971154;0,004010256;0,014813974;0,021010256;mg.L
Meso80_2;B5;80;microE;Meso;23400;cell.mL;0,066478077;0,032957692;0,012194872;0,121957692;0,001892308;0,001704359;0,012884551;0,485359615;0,003892308;0,01369359;0,021664103;mg.L
Meso80_3;B6;80;microE;Meso;18800;cell.mL;0,069170962;0,054088462;0,019501282;0,101987179;0,001103846;0,001253205;0,011105513;0,4524;0,003538462;0,012075256;0,018917949;mg.L
Meso200_1;B7;200;microE;Meso;22800;cell.mL;0,038536385;0,018260769;0,008956923;0,096256923;0,001324615;0,002165538;0,006792692;0,329663077;0,003113846;0,008664308;0,015169231;mg.L
Meso200_2;B8;200;microE;Meso;21900;cell.mL;0,040433462;0,021998077;0,011301282;0,095488462;0,001103846;0,001955;0,007116154;0,336288462;0,002948718;0,008340641;0,015953846;mg.L
Meso200_3;B9;200;microE;Meso;22700;cell.mL;0,03762;0,013482692;0,007253846;0,100896154;0,001682051;0,002255769;0,006900513;0,329596154;0,003066667;0,010830385;0,015648718;mg.L
