Sample;Name;Diameter;Volume;Unit.diameter;Unit.volume
MES20_R1_01;Meso20_1;16;4;mm;mL
MES20_R1_02;Meso20_1;16;4;mm;mL
MES20_R2_01;Meso20_2a;16;4;mm;mL
MES20_R3_01;Meso20_3;17;5;mm;mL
MES80_R1_01;Meso80_1;17;5;mm;mL
MES80_R2_01;Meso80_2;17;5;mm;mL
MES80_R3_01;Meso80_3;17;5;mm;mL
MES200_R1_01;Meso200_1;17;5;mm;mL
MES200_R2_01;Meso200_2;17;5;mm;mL
MES200_R3_01;Meso200_2;17;5;mm;mL
TEL20_R1_01;Tele20_1;17;3;mm;mL
TEL20_R2_01;Tele20_2;17;3;mm;mL
TEL20_R2_02_H2O;Tele20_2;17;3;mm;mL
TEL20_R3_01;Tele20_3;17;3;mm;mL
TEL20_R3_02;Tele20_3;17;3;mm;mL
TEL80_R1_01;Tele80_1;17;6;mm;mL
TEL80_R2_01;Tele80_2;17;6;mm;mL
TEL80_R3_01;Tele80_3;17;6;mm;mL
TEL200_R1_01;Tele200_1;17;6;mm;mL
TEL200_R2_01;Tele200_2;17;6;mm;mL
TEL200_R3_01;Tele200_3;17;6;mm;mL
TEL200_R3_02;Tele200_3;17;6;mm;mL
